python: can't open file 'train_ma.py': [Errno 2] No such file or directory
Generating 1 envs per character matchup:
hello
hello

Duel: ego=2timescale(Guile, head=0) vs adv=2timescale(Ryu, head=0)  matchup=GuileVsRyu  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Ryu.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 67/100: ego_won=False  ego_hp=94  adv_hp=176
  round 68/100: ego_won=False  ego_hp=91  adv_hp=176
  round 69/100: ego_won=False  ego_hp=116  adv_hp=176
  round 70/100: ego_won=False  ego_hp=101  adv_hp=176
  round 71/100: ego_won=False  ego_hp=84  adv_hp=176
  round 72/100: ego_won=False  ego_hp=120  adv_hp=145
  round 73/100: ego_won=False  ego_hp=91  adv_hp=176
  round 74/100: ego_won=False  ego_hp=79  adv_hp=176
  round 75/100: ego_won=True  ego_hp=156  adv_hp=153
  round 76/100: ego_won=False  ego_hp=116  adv_hp=176
  round 77/100: ego_won=False  ego_hp=122  adv_hp=176
  round 78/100: ego_won=False  ego_hp=69  adv_hp=176
  round 79/100: ego_won=False  ego_hp=96  adv_hp=176
  round 80/100: ego_won=False  ego_hp=91  adv_hp=176
  round 81/100: ego_won=False  ego_hp=129  adv_hp=176
  round 82/100: ego_won=False  ego_hp=94  adv_hp=176
  round 83/100: ego_won=True  ego_hp=158  adv_hp=145
  round 84/100: ego_won=False  ego_hp=114  adv_hp=176
  round 85/100: ego_won=False  ego_hp=96  adv_hp=176
  round 86/100: ego_won=False  ego_hp=94  adv_hp=176
  round 87/100: ego_won=False  ego_hp=134  adv_hp=176
  round 88/100: ego_won=False  ego_hp=91  adv_hp=176
  round 89/100: ego_won=False  ego_hp=81  adv_hp=176
  round 90/100: ego_won=False  ego_hp=58  adv_hp=176
  round 91/100: ego_won=False  ego_hp=132  adv_hp=176
  round 92/100: ego_won=False  ego_hp=91  adv_hp=176
  round 93/100: ego_won=False  ego_hp=78  adv_hp=176
  round 94/100: ego_won=False  ego_hp=84  adv_hp=176
  round 95/100: ego_won=False  ego_hp=66  adv_hp=176
  round 96/100: ego_won=False  ego_hp=104  adv_hp=176
  round 97/100: ego_won=False  ego_hp=106  adv_hp=176
  round 98/100: ego_won=False  ego_hp=79  adv_hp=176
  round 99/100: ego_won=False  ego_hp=50  adv_hp=176
  round 100/100: ego_won=False  ego_hp=91  adv_hp=176
final: ego_win_rate=0.0200  (2/100)  matchup=GuileVsDhalsim

Duel: ego=2timescale(Guile, head=8) vs adv=2timescale(Balrog, head=4)  matchup=GuileVsBalrog  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Balrog.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=False  ego_hp=176  adv_hp=176
  round 2/100: ego_won=False  ego_hp=176  adv_hp=176
  round 3/100: ego_won=False  ego_hp=176  adv_hp=176
  round 4/100: ego_won=False  ego_hp=176  adv_hp=176
  round 5/100: ego_won=False  ego_hp=176  adv_hp=176
  round 6/100: ego_won=False  ego_hp=176  adv_hp=176
  round 7/100: ego_won=False  ego_hp=176  adv_hp=176
  round 8/100: ego_won=False  ego_hp=176  adv_hp=176
  round 9/100: ego_won=False  ego_hp=176  adv_hp=176
  round 10/100: ego_won=False  ego_hp=176  adv_hp=176
  round 11/100: ego_won=False  ego_hp=176  adv_hp=176
  round 12/100: ego_won=False  ego_hp=176  adv_hp=176
  round 13/100: ego_won=False  ego_hp=176  adv_hp=176
  round 14/100: ego_won=False  ego_hp=176  adv_hp=176
  round 15/100: ego_won=False  ego_hp=176  adv_hp=176
  round 16/100: ego_won=False  ego_hp=176  adv_hp=176
  round 17/100: ego_won=False  ego_hp=176  adv_hp=176
  round 18/100: ego_won=False  ego_hp=176  adv_hp=176
  round 19/100: ego_won=False  ego_hp=176  adv_hp=176
  round 20/100: ego_won=False  ego_hp=176  adv_hp=176
  round 21/100: ego_won=False  ego_hp=176  adv_hp=176
  round 22/100: ego_won=False  ego_hp=176  adv_hp=176
  round 23/100: ego_won=False  ego_hp=176  adv_hp=176
  round 24/100: ego_won=False  ego_hp=176  adv_hp=176
  round 25/100: ego_won=False  ego_hp=176  adv_hp=176
  round 26/100: ego_won=False  ego_hp=176  adv_hp=176
  round 27/100: ego_won=False  ego_hp=176  adv_hp=176
  round 28/100: ego_won=False  ego_hp=176  adv_hp=176
  round 29/100: ego_won=False  ego_hp=176  adv_hp=176
  round 30/100: ego_won=False  ego_hp=176  adv_hp=176
  round 31/100: ego_won=False  ego_hp=176  adv_hp=176
  round 32/100: ego_won=False  ego_hp=176  adv_hp=176
  round 33/100: ego_won=False  ego_hp=176  adv_hp=176
  round 34/100: ego_won=False  ego_hp=176  adv_hp=176
  round 35/100: ego_won=False  ego_hp=176  adv_hp=176
  round 36/100: ego_won=False  ego_hp=176  adv_hp=176
  round 37/100: ego_won=False  ego_hp=176  adv_hp=176
  round 38/100: ego_won=False  ego_hp=176  adv_hp=176
  round 39/100: ego_won=False  ego_hp=176  adv_hp=176
  round 40/100: ego_won=False  ego_hp=176  adv_hp=176
  round 41/100: ego_won=False  ego_hp=176  adv_hp=176
  round 42/100: ego_won=False  ego_hp=176  adv_hp=176
  round 43/100: ego_won=False  ego_hp=176  adv_hp=176
  round 44/100: ego_won=False  ego_hp=176  adv_hp=176
  round 45/100: ego_won=False  ego_hp=176  adv_hp=176
  round 46/100: ego_won=False  ego_hp=176  adv_hp=176
  round 47/100: ego_won=False  ego_hp=176  adv_hp=176
  round 48/100: ego_won=False  ego_hp=176  adv_hp=176
  round 49/100: ego_won=False  ego_hp=176  adv_hp=176
  round 50/100: ego_won=False  ego_hp=176  adv_hp=176
  round 51/100: ego_won=False  ego_hp=176  adv_hp=176
  round 52/100: ego_won=False  ego_hp=176  adv_hp=176
  round 53/100: ego_won=False  ego_hp=176  adv_hp=176
  round 54/100: ego_won=False  ego_hp=176  adv_hp=176
  round 55/100: ego_won=False  ego_hp=176  adv_hp=176
  round 56/100: ego_won=False  ego_hp=176  adv_hp=176
  round 57/100: ego_won=False  ego_hp=176  adv_hp=176
  round 58/100: ego_won=False  ego_hp=176  adv_hp=176
  round 59/100: ego_won=False  ego_hp=176  adv_hp=176
  round 60/100: ego_won=False  ego_hp=176  adv_hp=176
  round 61/100: ego_won=False  ego_hp=176  adv_hp=176
  round 62/100: ego_won=False  ego_hp=176  adv_hp=176
  round 63/100: ego_won=False  ego_hp=176  adv_hp=176
  round 64/100: ego_won=False  ego_hp=176  adv_hp=176
  round 65/100: ego_won=False  ego_hp=176  adv_hp=176
  round 66/100: ego_won=False  ego_hp=176  adv_hp=176
  round 67/100: ego_won=False  ego_hp=176  adv_hp=176
  round 68/100: ego_won=False  ego_hp=176  adv_hp=176
  round 69/100: ego_won=False  ego_hp=176  adv_hp=176
  round 70/100: ego_won=False  ego_hp=176  adv_hp=176
  round 71/100: ego_won=False  ego_hp=176  adv_hp=176
  round 72/100: ego_won=False  ego_hp=176  adv_hp=176
  round 73/100: ego_won=False  ego_hp=176  adv_hp=176
  round 74/100: ego_won=False  ego_hp=176  adv_hp=176
  round 75/100: ego_won=False  ego_hp=176  adv_hp=176
  round 76/100: ego_won=False  ego_hp=176  adv_hp=176
  round 77/100: ego_won=False  ego_hp=176  adv_hp=176
  round 78/100: ego_won=False  ego_hp=176  adv_hp=176
  round 79/100: ego_won=False  ego_hp=176  adv_hp=176
  round 80/100: ego_won=False  ego_hp=176  adv_hp=176
  round 81/100: ego_won=False  ego_hp=176  adv_hp=176
  round 82/100: ego_won=False  ego_hp=176  adv_hp=176
  round 83/100: ego_won=False  ego_hp=176  adv_hp=176
  round 84/100: ego_won=False  ego_hp=176  adv_hp=176
  round 85/100: ego_won=False  ego_hp=176  adv_hp=176
  round 86/100: ego_won=False  ego_hp=176  adv_hp=176
  round 87/100: ego_won=False  ego_hp=176  adv_hp=176
  round 88/100: ego_won=False  ego_hp=176  adv_hp=176
  round 89/100: ego_won=False  ego_hp=176  adv_hp=176
  round 90/100: ego_won=False  ego_hp=176  adv_hp=176
  round 91/100: ego_won=False  ego_hp=176  adv_hp=176
  round 92/100: ego_won=False  ego_hp=176  adv_hp=176
  round 93/100: ego_won=False  ego_hp=176  adv_hp=176
  round 94/100: ego_won=False  ego_hp=176  adv_hp=176
  round 95/100: ego_won=False  ego_hp=176  adv_hp=176
  round 96/100: ego_won=False  ego_hp=176  adv_hp=176
  round 97/100: ego_won=False  ego_hp=176  adv_hp=176
  round 98/100: ego_won=False  ego_hp=176  adv_hp=176
  round 99/100: ego_won=False  ego_hp=176  adv_hp=176
  round 100/100: ego_won=False  ego_hp=176  adv_hp=176
final: ego_win_rate=0.0000  (0/100)  matchup=GuileVsBalrog

Duel: ego=2timescale(Guile, head=10) vs adv=2timescale(MBison, head=5)  matchup=GuileVsMBison  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_MBison.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=True  ego_hp=75  adv_hp=-1
  round 2/100: ego_won=True  ego_hp=64  adv_hp=-1
  round 3/100: ego_won=True  ego_hp=38  adv_hp=-1
  round 4/100: ego_won=True  ego_hp=84  adv_hp=-1
  round 5/100: ego_won=True  ego_hp=132  adv_hp=-1
  round 6/100: ego_won=True  ego_hp=147  adv_hp=-1
  round 7/100: ego_won=True  ego_hp=165  adv_hp=-1
  round 8/100: ego_won=True  ego_hp=147  adv_hp=-1
  round 9/100: ego_won=True  ego_hp=62  adv_hp=-1
  round 10/100: ego_won=True  ego_hp=50  adv_hp=-1
  round 11/100: ego_won=True  ego_hp=55  adv_hp=-1
  round 12/100: ego_won=True  ego_hp=76  adv_hp=-1
  round 13/100: ego_won=True  ego_hp=22  adv_hp=-1
  round 14/100: ego_won=True  ego_hp=176  adv_hp=-1
  round 15/100: ego_won=True  ego_hp=5  adv_hp=-1
  round 16/100: ego_won=True  ego_hp=95  adv_hp=-1
  round 17/100: ego_won=True  ego_hp=165  adv_hp=-1
  round 18/100: ego_won=True  ego_hp=67  adv_hp=-1
  round 19/100: ego_won=True  ego_hp=43  adv_hp=-1
  round 20/100: ego_won=True  ego_hp=64  adv_hp=-1
  round 21/100: ego_won=True  ego_hp=78  adv_hp=-1
  round 22/100: ego_won=True  ego_hp=24  adv_hp=-1
  round 23/100: ego_won=True  ego_hp=124  adv_hp=-1
  round 24/100: ego_won=True  ego_hp=149  adv_hp=-1
  round 25/100: ego_won=True  ego_hp=71  adv_hp=-1
  round 26/100: ego_won=True  ego_hp=154  adv_hp=-1
  round 27/100: ego_won=True  ego_hp=123  adv_hp=-1
  round 28/100: ego_won=True  ego_hp=91  adv_hp=-1
  round 29/100: ego_won=True  ego_hp=108  adv_hp=-1
  round 30/100: ego_won=True  ego_hp=55  adv_hp=-1
  round 31/100: ego_won=True  ego_hp=147  adv_hp=-1
  round 32/100: ego_won=True  ego_hp=27  adv_hp=-1
  round 33/100: ego_won=True  ego_hp=89  adv_hp=-1
  round 34/100: ego_won=True  ego_hp=103  adv_hp=-1
  round 35/100: ego_won=True  ego_hp=146  adv_hp=-1
  round 36/100: ego_won=True  ego_hp=4  adv_hp=-1
  round 37/100: ego_won=True  ego_hp=113  adv_hp=-1
  round 38/100: ego_won=True  ego_hp=94  adv_hp=-1
  round 39/100: ego_won=True  ego_hp=31  adv_hp=-1
  round 40/100: ego_won=True  ego_hp=7  adv_hp=-1
  round 41/100: ego_won=True  ego_hp=65  adv_hp=-1
  round 42/100: ego_won=True  ego_hp=82  adv_hp=-1
  round 43/100: ego_won=True  ego_hp=159  adv_hp=-1
  round 44/100: ego_won=True  ego_hp=17  adv_hp=-1
  round 45/100: ego_won=True  ego_hp=96  adv_hp=-1
  round 46/100: ego_won=True  ego_hp=85  adv_hp=-1
  round 47/100: ego_won=False  ego_hp=-1  adv_hp=49
  round 48/100: ego_won=True  ego_hp=107  adv_hp=-1
  round 49/100: ego_won=True  ego_hp=146  adv_hp=-1
  round 50/100: ego_won=True  ego_hp=118  adv_hp=-1
  round 51/100: ego_won=True  ego_hp=31  adv_hp=-1
  round 52/100: ego_won=True  ego_hp=27  adv_hp=-1
  round 53/100: ego_won=True  ego_hp=53  adv_hp=-1
  round 54/100: ego_won=True  ego_hp=152  adv_hp=-1
  round 55/100: ego_won=True  ego_hp=76  adv_hp=-1
  round 56/100: ego_won=True  ego_hp=66  adv_hp=-1
  round 57/100: ego_won=False  ego_hp=-1  adv_hp=40
  round 58/100: ego_won=True  ego_hp=35  adv_hp=-1
  round 59/100: ego_won=True  ego_hp=94  adv_hp=-1
  round 60/100: ego_won=True  ego_hp=164  adv_hp=-1
  round 61/100: ego_won=True  ego_hp=12  adv_hp=-1
  round 62/100: ego_won=True  ego_hp=147  adv_hp=-1
  round 63/100: ego_won=True  ego_hp=31  adv_hp=-1
  round 64/100: ego_won=True  ego_hp=39  adv_hp=-1
  round 65/100: ego_won=True  ego_hp=31  adv_hp=-1
  round 66/100: ego_won=True  ego_hp=78  adv_hp=-1
  round 67/100: ego_won=True  ego_hp=19  adv_hp=-1
  round 68/100: ego_won=True  ego_hp=165  adv_hp=-1
  round 69/100: ego_won=True  ego_hp=0  adv_hp=-1
  round 70/100: ego_won=True  ego_hp=78  adv_hp=-1
  round 71/100: ego_won=True  ego_hp=165  adv_hp=-1
  round 72/100: ego_won=True  ego_hp=27  adv_hp=-1
  round 73/100: ego_won=True  ego_hp=43  adv_hp=-1
  round 74/100: ego_won=True  ego_hp=95  adv_hp=-1
  round 75/100: ego_won=True  ego_hp=12  adv_hp=-1
  round 76/100: ego_won=True  ego_hp=88  adv_hp=-1
  round 77/100: ego_won=True  ego_hp=147  adv_hp=-1
  round 78/100: ego_won=True  ego_hp=136  adv_hp=-1
  round 79/100: ego_won=True  ego_hp=69  adv_hp=-1
  round 80/100: ego_won=True  ego_hp=65  adv_hp=-1
  round 81/100: ego_won=True  ego_hp=1  adv_hp=-1
  round 82/100: ego_won=True  ego_hp=5  adv_hp=-1
  round 83/100: ego_won=True  ego_hp=141  adv_hp=-1
  round 84/100: ego_won=True  ego_hp=90  adv_hp=-1
  round 85/100: ego_won=True  ego_hp=176  adv_hp=-1
  round 86/100: ego_won=True  ego_hp=136  adv_hp=-1
  round 87/100: ego_won=True  ego_hp=20  adv_hp=-1
  round 88/100: ego_won=True  ego_hp=90  adv_hp=-1
  round 89/100: ego_won=True  ego_hp=136  adv_hp=-1
  round 90/100: ego_won=True  ego_hp=94  adv_hp=-1
  round 91/100: ego_won=True  ego_hp=33  adv_hp=-1
  round 92/100: ego_won=True  ego_hp=50  adv_hp=-1
  round 93/100: ego_won=True  ego_hp=176  adv_hp=-1
  round 94/100: ego_won=True  ego_hp=65  adv_hp=-1
  round 95/100: ego_won=True  ego_hp=11  adv_hp=-1
  round 96/100: ego_won=True  ego_hp=36  adv_hp=-1
  round 97/100: ego_won=True  ego_hp=79  adv_hp=-1
  round 98/100: ego_won=True  ego_hp=10  adv_hp=-1
  round 99/100: ego_won=True  ego_hp=145  adv_hp=-1
  round 100/100: ego_won=True  ego_hp=3  adv_hp=-1
final: ego_win_rate=0.9800  (98/100)  matchup=GuileVsMBison

Duel: ego=2timescale(Vega, head=12) vs adv=2timescale(Ryu, head=6)  matchup=VegaVsRyu  rounds=100
Recording duel video to: main/videos/duel_2timescale_Vega_vs_2timescale_Ryu.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=True  ego_hp=118  adv_hp=49
  round 2/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 3/100: ego_won=True  ego_hp=112  adv_hp=106
  round 4/100: ego_won=True  ego_hp=104  adv_hp=89
  round 5/100: ego_won=False  ego_hp=94  adv_hp=98
  round 6/100: ego_won=False  ego_hp=106  adv_hp=137
  round 7/100: ego_won=False  ego_hp=-1  adv_hp=151
  round 8/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 9/100: ego_won=False  ego_hp=-1  adv_hp=132
  round 10/100: ego_won=True  ego_hp=112  adv_hp=76
  round 11/100: ego_won=False  ego_hp=-1  adv_hp=103
  round 12/100: ego_won=False  ego_hp=-1  adv_hp=115
  round 13/100: ego_won=True  ego_hp=104  adv_hp=27
  round 14/100: ego_won=False  ego_hp=-1  adv_hp=89
  round 15/100: ego_won=False  ego_hp=112  adv_hp=159
  round 16/100: ego_won=False  ego_hp=112  adv_hp=137
  round 17/100: ego_won=False  ego_hp=-1  adv_hp=140
  round 18/100: ego_won=False  ego_hp=-1  adv_hp=145
  round 19/100: ego_won=False  ego_hp=112  adv_hp=166
  round 20/100: ego_won=False  ego_hp=-1  adv_hp=154
  round 21/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 22/100: ego_won=False  ego_hp=-1  adv_hp=103
  round 23/100: ego_won=False  ego_hp=-1  adv_hp=115
  round 24/100: ego_won=False  ego_hp=-1  adv_hp=123
  round 25/100: ego_won=False  ego_hp=-1  adv_hp=142
  round 26/100: ego_won=False  ego_hp=-1  adv_hp=151
  round 27/100: ego_won=False  ego_hp=-1  adv_hp=107
  round 28/100: ego_won=True  ego_hp=112  adv_hp=58
  round 29/100: ego_won=True  ego_hp=112  adv_hp=82
  round 30/100: ego_won=False  ego_hp=-1  adv_hp=76
  round 31/100: ego_won=True  ego_hp=112  adv_hp=111
  round 32/100: ego_won=True  ego_hp=112  adv_hp=76
  round 33/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 34/100: ego_won=False  ego_hp=-1  adv_hp=120
  round 35/100: ego_won=True  ego_hp=112  adv_hp=90
  round 36/100: ego_won=False  ego_hp=-1  adv_hp=110
  round 37/100: ego_won=True  ego_hp=120  adv_hp=115
  round 38/100: ego_won=False  ego_hp=69  adv_hp=139
  round 39/100: ego_won=False  ego_hp=-1  adv_hp=105
  round 40/100: ego_won=True  ego_hp=112  adv_hp=71
  round 41/100: ego_won=False  ego_hp=-1  adv_hp=63
  round 42/100: ego_won=False  ego_hp=-1  adv_hp=123
  round 43/100: ego_won=False  ego_hp=-1  adv_hp=137
  round 44/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 45/100: ego_won=False  ego_hp=-1  adv_hp=166
  round 46/100: ego_won=False  ego_hp=104  adv_hp=120
  round 47/100: ego_won=True  ego_hp=133  adv_hp=112
  round 48/100: ego_won=False  ego_hp=-1  adv_hp=129
  round 49/100: ego_won=True  ego_hp=112  adv_hp=75
  round 50/100: ego_won=False  ego_hp=-1  adv_hp=72
  round 51/100: ego_won=False  ego_hp=-1  adv_hp=54
  round 52/100: ego_won=False  ego_hp=-1  adv_hp=112
  round 53/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 54/100: ego_won=True  ego_hp=107  adv_hp=59
  round 55/100: ego_won=True  ego_hp=100  adv_hp=98
  round 56/100: ego_won=False  ego_hp=-1  adv_hp=120
  round 57/100: ego_won=False  ego_hp=-1  adv_hp=98
  round 58/100: ego_won=False  ego_hp=-1  adv_hp=98
  round 59/100: ego_won=False  ego_hp=-1  adv_hp=154
  round 60/100: ego_won=False  ego_hp=-1  adv_hp=142
  round 61/100: ego_won=True  ego_hp=100  adv_hp=71
  round 62/100: ego_won=False  ego_hp=-1  adv_hp=120
  round 63/100: ego_won=False  ego_hp=-1  adv_hp=137
  round 64/100: ego_won=False  ego_hp=-1  adv_hp=93
  round 65/100: ego_won=False  ego_hp=-1  adv_hp=115
  round 66/100: ego_won=False  ego_hp=-1  adv_hp=115
  round 67/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 68/100: ego_won=False  ego_hp=5  adv_hp=142
  round 69/100: ego_won=True  ego_hp=112  adv_hp=107
  round 70/100: ego_won=False  ego_hp=112  adv_hp=120
  round 71/100: ego_won=False  ego_hp=-1  adv_hp=120
  round 72/100: ego_won=False  ego_hp=-1  adv_hp=98
  round 73/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 74/100: ego_won=False  ego_hp=-1  adv_hp=115
  round 75/100: ego_won=False  ego_hp=-1  adv_hp=159
  round 76/100: ego_won=False  ego_hp=-1  adv_hp=103
  round 77/100: ego_won=True  ego_hp=112  adv_hp=98
  round 78/100: ego_won=False  ego_hp=-1  adv_hp=125
  round 79/100: ego_won=False  ego_hp=-1  adv_hp=98
  round 80/100: ego_won=False  ego_hp=-1  adv_hp=159
  round 81/100: ego_won=False  ego_hp=-1  adv_hp=145
  round 82/100: ego_won=False  ego_hp=-1  adv_hp=53
  round 83/100: ego_won=True  ego_hp=98  adv_hp=64
  round 84/100: ego_won=False  ego_hp=-1  adv_hp=142
  round 85/100: ego_won=False  ego_hp=-1  adv_hp=75
  round 86/100: ego_won=False  ego_hp=-1  adv_hp=154
  round 87/100: ego_won=False  ego_hp=-1  adv_hp=142
  round 88/100: ego_won=False  ego_hp=-1  adv_hp=154
  round 89/100: ego_won=False  ego_hp=39  adv_hp=110
  round 90/100: ego_won=False  ego_hp=-1  adv_hp=159
  round 91/100: ego_won=False  ego_hp=-1  adv_hp=125
  round 92/100: ego_won=False  ego_hp=104  adv_hp=123
  round 93/100: ego_won=False  ego_hp=112  adv_hp=154
  round 94/100: ego_won=False  ego_hp=-1  adv_hp=85
  round 95/100: ego_won=False  ego_hp=-1  adv_hp=142
  round 96/100: ego_won=False  ego_hp=-1  adv_hp=142
  round 97/100: ego_won=True  ego_hp=93  adv_hp=23
  round 98/100: ego_won=True  ego_hp=112  adv_hp=103
  round 99/100: ego_won=False  ego_hp=-1  adv_hp=159
  round 100/100: ego_won=True  ego_hp=112  adv_hp=98
final: ego_win_rate=0.2300  (23/100)  matchup=VegaVsRyu

Duel: ego=2timescale(Vega, head=14) vs adv=2timescale(Sagat, head=7)  matchup=VegaVsSagat  rounds=100
Recording duel video to: main/videos/duel_2timescale_Vega_vs_2timescale_Sagat.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=True  ego_hp=129  adv_hp=89
  round 2/100: ego_won=False  ego_hp=149  adv_hp=176
  round 3/100: ego_won=True  ego_hp=176  adv_hp=137
  round 4/100: ego_won=False  ego_hp=171  adv_hp=176
  round 5/100: ego_won=False  ego_hp=101  adv_hp=135
  round 6/100: ego_won=False  ego_hp=171  adv_hp=176
  round 7/100: ego_won=False  ego_hp=171  adv_hp=176
  round 8/100: ego_won=False  ego_hp=153  adv_hp=176
  round 9/100: ego_won=False  ego_hp=154  adv_hp=176
  round 10/100: ego_won=False  ego_hp=171  adv_hp=176
  round 11/100: ego_won=False  ego_hp=176  adv_hp=176
  round 12/100: ego_won=False  ego_hp=90  adv_hp=122
  round 13/100: ego_won=False  ego_hp=97  adv_hp=139
  round 14/100: ego_won=False  ego_hp=101  adv_hp=102
  round 15/100: ego_won=True  ego_hp=149  adv_hp=107
  round 16/100: ego_won=True  ego_hp=72  adv_hp=55
  round 17/100: ego_won=False  ego_hp=171  adv_hp=176
  round 18/100: ego_won=False  ego_hp=171  adv_hp=176
  round 19/100: ego_won=False  ego_hp=154  adv_hp=176
  round 20/100: ego_won=False  ego_hp=119  adv_hp=131
  round 21/100: ego_won=False  ego_hp=154  adv_hp=176
  round 22/100: ego_won=True  ego_hp=147  adv_hp=-1
  round 23/100: ego_won=False  ego_hp=176  adv_hp=176
  round 24/100: ego_won=False  ego_hp=176  adv_hp=176
  round 25/100: ego_won=False  ego_hp=149  adv_hp=176
  round 26/100: ego_won=False  ego_hp=176  adv_hp=176
  round 27/100: ego_won=False  ego_hp=112  adv_hp=137
  round 28/100: ego_won=True  ego_hp=72  adv_hp=56
  round 29/100: ego_won=False  ego_hp=154  adv_hp=176
  round 30/100: ego_won=True  ego_hp=113  adv_hp=44
  round 31/100: ego_won=False  ego_hp=153  adv_hp=176
  round 32/100: ego_won=False  ego_hp=7  adv_hp=122
  round 33/100: ego_won=False  ego_hp=176  adv_hp=176
  round 34/100: ego_won=True  ego_hp=130  adv_hp=119
  round 35/100: ego_won=False  ego_hp=128  adv_hp=149
  round 36/100: ego_won=False  ego_hp=15  adv_hp=83
  round 37/100: ego_won=True  ego_hp=176  adv_hp=159
  round 38/100: ego_won=False  ego_hp=84  adv_hp=144
  round 39/100: ego_won=False  ego_hp=92  adv_hp=116
  round 40/100: ego_won=True  ego_hp=64  adv_hp=57
  round 41/100: ego_won=False  ego_hp=171  adv_hp=176
  round 42/100: ego_won=False  ego_hp=171  adv_hp=176
  round 43/100: ego_won=False  ego_hp=176  adv_hp=176
  round 44/100: ego_won=False  ego_hp=86  adv_hp=116
  round 45/100: ego_won=False  ego_hp=154  adv_hp=176
  round 46/100: ego_won=False  ego_hp=171  adv_hp=176
  round 47/100: ego_won=False  ego_hp=143  adv_hp=154
  round 48/100: ego_won=False  ego_hp=176  adv_hp=176
  round 49/100: ego_won=True  ego_hp=130  adv_hp=128
  round 50/100: ego_won=False  ego_hp=154  adv_hp=176
  round 51/100: ego_won=False  ego_hp=154  adv_hp=176
  round 52/100: ego_won=True  ego_hp=131  adv_hp=76
  round 53/100: ego_won=False  ego_hp=154  adv_hp=176
  round 54/100: ego_won=False  ego_hp=176  adv_hp=176
  round 55/100: ego_won=False  ego_hp=67  adv_hp=82
  round 56/100: ego_won=False  ego_hp=147  adv_hp=176
  round 57/100: ego_won=True  ego_hp=88  adv_hp=66
  round 58/100: ego_won=False  ego_hp=176  adv_hp=176
  round 59/100: ego_won=False  ego_hp=154  adv_hp=176
  round 60/100: ego_won=False  ego_hp=154  adv_hp=176
  round 61/100: ego_won=True  ego_hp=144  adv_hp=102
  round 62/100: ego_won=False  ego_hp=171  adv_hp=176
  round 63/100: ego_won=True  ego_hp=93  adv_hp=79
  round 64/100: ego_won=True  ego_hp=112  adv_hp=68
  round 65/100: ego_won=False  ego_hp=153  adv_hp=176
  round 66/100: ego_won=True  ego_hp=166  adv_hp=138
  round 67/100: ego_won=True  ego_hp=97  adv_hp=-1
  round 68/100: ego_won=False  ego_hp=176  adv_hp=176
  round 69/100: ego_won=True  ego_hp=85  adv_hp=77
  round 70/100: ego_won=True  ego_hp=136  adv_hp=108
  round 71/100: ego_won=True  ego_hp=176  adv_hp=159
  round 72/100: ego_won=False  ego_hp=176  adv_hp=176
  round 73/100: ego_won=False  ego_hp=1  adv_hp=89
  round 74/100: ego_won=True  ego_hp=98  adv_hp=37
  round 75/100: ego_won=False  ego_hp=145  adv_hp=159
  round 76/100: ego_won=False  ego_hp=25  adv_hp=126
  round 77/100: ego_won=False  ego_hp=171  adv_hp=176
  round 78/100: ego_won=True  ego_hp=59  adv_hp=40
  round 79/100: ego_won=True  ego_hp=88  adv_hp=85
  round 80/100: ego_won=True  ego_hp=139  adv_hp=137
  round 81/100: ego_won=False  ego_hp=171  adv_hp=176
  round 82/100: ego_won=False  ego_hp=154  adv_hp=176
  round 83/100: ego_won=True  ego_hp=116  adv_hp=115
  round 84/100: ego_won=True  ego_hp=48  adv_hp=0
  round 85/100: ego_won=False  ego_hp=153  adv_hp=176
  round 86/100: ego_won=False  ego_hp=171  adv_hp=176
  round 87/100: ego_won=False  ego_hp=154  adv_hp=176
  round 88/100: ego_won=True  ego_hp=145  adv_hp=139
  round 89/100: ego_won=True  ego_hp=107  adv_hp=90
  round 90/100: ego_won=True  ego_hp=118  adv_hp=90
  round 91/100: ego_won=True  ego_hp=139  adv_hp=134
  round 92/100: ego_won=False  ego_hp=176  adv_hp=176
  round 93/100: ego_won=False  ego_hp=139  adv_hp=154
  round 94/100: ego_won=False  ego_hp=149  adv_hp=176
  round 95/100: ego_won=False  ego_hp=176  adv_hp=176
  round 96/100: ego_won=False  ego_hp=170  adv_hp=176
  round 97/100: ego_won=True  ego_hp=128  adv_hp=103
  round 98/100: ego_won=True  ego_hp=154  adv_hp=145
