python: can't open file 'train_ma.py': [Errno 2] No such file or directory
Generating 1 envs per character matchup:
hello
hello

Duel: ego=2timescale(Guile, head=0) vs adv=2timescale(Ryu, head=0)  matchup=GuileVsRyu  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Ryu.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
final: ego_win_rate=0.0000  (0/100)  matchup=GuileVsRyu

Duel: ego=2timescale(Guile, head=2) vs adv=2timescale(Sagat, head=1)  matchup=GuileVsSagat  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Sagat.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=False  ego_hp=5  adv_hp=176
  round 2/100: ego_won=False  ego_hp=19  adv_hp=176
  round 3/100: ego_won=False  ego_hp=30  adv_hp=176
  round 4/100: ego_won=False  ego_hp=3  adv_hp=176
  round 5/100: ego_won=False  ego_hp=20  adv_hp=176
  round 6/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 7/100: ego_won=False  ego_hp=28  adv_hp=176
  round 8/100: ego_won=False  ego_hp=15  adv_hp=176
  round 9/100: ego_won=False  ego_hp=3  adv_hp=176
  round 10/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 11/100: ego_won=False  ego_hp=59  adv_hp=176
  round 12/100: ego_won=False  ego_hp=28  adv_hp=176
  round 13/100: ego_won=False  ego_hp=42  adv_hp=176
  round 14/100: ego_won=False  ego_hp=3  adv_hp=176
  round 15/100: ego_won=False  ego_hp=39  adv_hp=176
  round 16/100: ego_won=False  ego_hp=24  adv_hp=176
  round 17/100: ego_won=False  ego_hp=10  adv_hp=176
  round 18/100: ego_won=False  ego_hp=28  adv_hp=176
  round 19/100: ego_won=False  ego_hp=33  adv_hp=176
  round 20/100: ego_won=False  ego_hp=3  adv_hp=176
  round 21/100: ego_won=False  ego_hp=38  adv_hp=176
  round 22/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 23/100: ego_won=False  ego_hp=2  adv_hp=176
  round 24/100: ego_won=False  ego_hp=8  adv_hp=176
  round 25/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 26/100: ego_won=False  ego_hp=20  adv_hp=176
  round 27/100: ego_won=False  ego_hp=17  adv_hp=176
  round 28/100: ego_won=False  ego_hp=3  adv_hp=176
  round 29/100: ego_won=False  ego_hp=6  adv_hp=176
  round 30/100: ego_won=False  ego_hp=2  adv_hp=176
  round 31/100: ego_won=False  ego_hp=3  adv_hp=176
  round 32/100: ego_won=False  ego_hp=29  adv_hp=176
  round 33/100: ego_won=False  ego_hp=8  adv_hp=176
  round 34/100: ego_won=False  ego_hp=47  adv_hp=176
  round 35/100: ego_won=False  ego_hp=33  adv_hp=176
  round 36/100: ego_won=False  ego_hp=3  adv_hp=176
  round 37/100: ego_won=False  ego_hp=10  adv_hp=176
  round 38/100: ego_won=False  ego_hp=12  adv_hp=176
  round 39/100: ego_won=False  ego_hp=1  adv_hp=176
  round 40/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 41/100: ego_won=False  ego_hp=10  adv_hp=176
  round 42/100: ego_won=False  ego_hp=3  adv_hp=176
  round 43/100: ego_won=False  ego_hp=43  adv_hp=176
  round 44/100: ego_won=False  ego_hp=1  adv_hp=176
  round 45/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 46/100: ego_won=False  ego_hp=7  adv_hp=176
  round 47/100: ego_won=False  ego_hp=2  adv_hp=176
  round 48/100: ego_won=False  ego_hp=1  adv_hp=176
  round 49/100: ego_won=False  ego_hp=4  adv_hp=176
  round 50/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 51/100: ego_won=False  ego_hp=50  adv_hp=176
  round 52/100: ego_won=False  ego_hp=32  adv_hp=176
  round 53/100: ego_won=False  ego_hp=17  adv_hp=176
  round 54/100: ego_won=False  ego_hp=8  adv_hp=176
  round 55/100: ego_won=False  ego_hp=42  adv_hp=176
  round 56/100: ego_won=False  ego_hp=4  adv_hp=176
  round 57/100: ego_won=False  ego_hp=13  adv_hp=176
  round 58/100: ego_won=False  ego_hp=0  adv_hp=176
  round 59/100: ego_won=False  ego_hp=32  adv_hp=176
  round 60/100: ego_won=False  ego_hp=7  adv_hp=176
  round 61/100: ego_won=False  ego_hp=13  adv_hp=176
  round 62/100: ego_won=False  ego_hp=18  adv_hp=176
  round 63/100: ego_won=False  ego_hp=7  adv_hp=176
  round 64/100: ego_won=False  ego_hp=3  adv_hp=176
  round 65/100: ego_won=False  ego_hp=21  adv_hp=176
  round 66/100: ego_won=False  ego_hp=36  adv_hp=176
  round 67/100: ego_won=False  ego_hp=12  adv_hp=176
  round 68/100: ego_won=False  ego_hp=0  adv_hp=176
  round 69/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 70/100: ego_won=False  ego_hp=4  adv_hp=176
  round 71/100: ego_won=False  ego_hp=29  adv_hp=176
  round 72/100: ego_won=False  ego_hp=9  adv_hp=176
  round 73/100: ego_won=False  ego_hp=18  adv_hp=176
  round 74/100: ego_won=False  ego_hp=1  adv_hp=176
  round 75/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 76/100: ego_won=False  ego_hp=11  adv_hp=176
  round 77/100: ego_won=False  ego_hp=32  adv_hp=176
  round 78/100: ego_won=False  ego_hp=3  adv_hp=176
  round 79/100: ego_won=False  ego_hp=26  adv_hp=176
  round 80/100: ego_won=False  ego_hp=0  adv_hp=176
  round 81/100: ego_won=False  ego_hp=25  adv_hp=176
  round 82/100: ego_won=False  ego_hp=35  adv_hp=176
  round 83/100: ego_won=False  ego_hp=23  adv_hp=176
  round 84/100: ego_won=False  ego_hp=24  adv_hp=176
  round 85/100: ego_won=False  ego_hp=13  adv_hp=176
  round 86/100: ego_won=False  ego_hp=2  adv_hp=176
  round 87/100: ego_won=False  ego_hp=6  adv_hp=176
  round 88/100: ego_won=False  ego_hp=-1  adv_hp=176
  round 89/100: ego_won=False  ego_hp=8  adv_hp=176
  round 90/100: ego_won=False  ego_hp=7  adv_hp=176
  round 91/100: ego_won=False  ego_hp=5  adv_hp=176
  round 92/100: ego_won=False  ego_hp=9  adv_hp=176
  round 93/100: ego_won=False  ego_hp=47  adv_hp=176
  round 94/100: ego_won=False  ego_hp=54  adv_hp=176
  round 95/100: ego_won=False  ego_hp=23  adv_hp=176
  round 96/100: ego_won=False  ego_hp=6  adv_hp=176
  round 97/100: ego_won=False  ego_hp=21  adv_hp=176
  round 98/100: ego_won=False  ego_hp=63  adv_hp=176
  round 99/100: ego_won=False  ego_hp=32  adv_hp=176
  round 100/100: ego_won=False  ego_hp=47  adv_hp=176
final: ego_win_rate=0.0000  (0/100)  matchup=GuileVsSagat

Duel: ego=2timescale(Guile, head=4) vs adv=2timescale(Ken, head=2)  matchup=GuileVsKen  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Ken.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=True  ego_hp=27  adv_hp=-1
  round 2/100: ego_won=True  ego_hp=11  adv_hp=-1
  round 3/100: ego_won=False  ego_hp=86  adv_hp=176
  round 4/100: ego_won=True  ego_hp=23  adv_hp=-1
  round 5/100: ego_won=True  ego_hp=13  adv_hp=-1
  round 6/100: ego_won=True  ego_hp=47  adv_hp=-1
  round 7/100: ego_won=True  ego_hp=19  adv_hp=-1
  round 8/100: ego_won=True  ego_hp=90  adv_hp=-1
  round 9/100: ego_won=True  ego_hp=3  adv_hp=-1
  round 10/100: ego_won=True  ego_hp=6  adv_hp=-1
  round 11/100: ego_won=True  ego_hp=1  adv_hp=-1
  round 12/100: ego_won=True  ego_hp=46  adv_hp=-1
  round 13/100: ego_won=True  ego_hp=21  adv_hp=-1
  round 14/100: ego_won=True  ego_hp=13  adv_hp=-1
  round 15/100: ego_won=True  ego_hp=155  adv_hp=-1
  round 16/100: ego_won=False  ego_hp=-1  adv_hp=29
  round 17/100: ego_won=True  ego_hp=80  adv_hp=-1
  round 18/100: ego_won=False  ego_hp=-1  adv_hp=54
  round 19/100: ego_won=True  ego_hp=4  adv_hp=-1
  round 20/100: ego_won=True  ego_hp=46  adv_hp=-1
  round 21/100: ego_won=True  ego_hp=39  adv_hp=-1
  round 22/100: ego_won=True  ego_hp=28  adv_hp=-1
  round 23/100: ego_won=True  ego_hp=143  adv_hp=-1
  round 24/100: ego_won=True  ego_hp=106  adv_hp=-1
  round 25/100: ego_won=True  ego_hp=57  adv_hp=-1
  round 26/100: ego_won=True  ego_hp=22  adv_hp=-1
  round 27/100: ego_won=True  ego_hp=62  adv_hp=-1
  round 28/100: ego_won=True  ego_hp=7  adv_hp=-1
  round 29/100: ego_won=True  ego_hp=104  adv_hp=-1
  round 30/100: ego_won=False  ego_hp=-1  adv_hp=110
  round 31/100: ego_won=True  ego_hp=7  adv_hp=-1
  round 32/100: ego_won=True  ego_hp=83  adv_hp=-1
  round 33/100: ego_won=True  ego_hp=59  adv_hp=-1
  round 34/100: ego_won=True  ego_hp=29  adv_hp=-1
  round 35/100: ego_won=True  ego_hp=27  adv_hp=-1
  round 36/100: ego_won=True  ego_hp=71  adv_hp=-1
  round 37/100: ego_won=True  ego_hp=56  adv_hp=-1
  round 38/100: ego_won=True  ego_hp=92  adv_hp=-1
  round 39/100: ego_won=True  ego_hp=11  adv_hp=-1
  round 40/100: ego_won=True  ego_hp=45  adv_hp=-1
  round 41/100: ego_won=True  ego_hp=67  adv_hp=-1
  round 42/100: ego_won=True  ego_hp=96  adv_hp=-1
  round 43/100: ego_won=True  ego_hp=43  adv_hp=-1
  round 44/100: ego_won=True  ego_hp=35  adv_hp=-1
  round 45/100: ego_won=False  ego_hp=-1  adv_hp=111
  round 46/100: ego_won=True  ego_hp=48  adv_hp=-1
  round 47/100: ego_won=True  ego_hp=0  adv_hp=-1
  round 48/100: ego_won=False  ego_hp=-1  adv_hp=102
  round 49/100: ego_won=True  ego_hp=24  adv_hp=-1
  round 50/100: ego_won=True  ego_hp=77  adv_hp=-1
  round 51/100: ego_won=False  ego_hp=-1  adv_hp=1
  round 52/100: ego_won=True  ego_hp=87  adv_hp=-1
  round 53/100: ego_won=False  ego_hp=-1  adv_hp=50
  round 54/100: ego_won=True  ego_hp=75  adv_hp=-1
  round 55/100: ego_won=True  ego_hp=91  adv_hp=-1
  round 56/100: ego_won=True  ego_hp=105  adv_hp=-1
  round 57/100: ego_won=True  ego_hp=28  adv_hp=-1
  round 58/100: ego_won=True  ego_hp=26  adv_hp=-1
  round 59/100: ego_won=False  ego_hp=-1  adv_hp=117
  round 60/100: ego_won=True  ego_hp=39  adv_hp=-1
  round 61/100: ego_won=True  ego_hp=28  adv_hp=-1
  round 62/100: ego_won=True  ego_hp=24  adv_hp=-1
  round 63/100: ego_won=True  ego_hp=11  adv_hp=-1
  round 64/100: ego_won=True  ego_hp=64  adv_hp=-1
  round 65/100: ego_won=False  ego_hp=-1  adv_hp=100
  round 66/100: ego_won=True  ego_hp=57  adv_hp=-1
  round 67/100: ego_won=False  ego_hp=62  adv_hp=132
  round 68/100: ego_won=False  ego_hp=-1  adv_hp=34
  round 69/100: ego_won=True  ego_hp=11  adv_hp=-1
  round 70/100: ego_won=True  ego_hp=56  adv_hp=-1
  round 71/100: ego_won=True  ego_hp=11  adv_hp=-1
  round 72/100: ego_won=False  ego_hp=-1  adv_hp=9
  round 73/100: ego_won=True  ego_hp=9  adv_hp=-1
  round 74/100: ego_won=True  ego_hp=37  adv_hp=-1
  round 75/100: ego_won=True  ego_hp=24  adv_hp=-1
  round 76/100: ego_won=True  ego_hp=73  adv_hp=-1
  round 77/100: ego_won=True  ego_hp=49  adv_hp=-1
  round 78/100: ego_won=True  ego_hp=24  adv_hp=-1
  round 79/100: ego_won=False  ego_hp=-1  adv_hp=10
  round 80/100: ego_won=True  ego_hp=66  adv_hp=-1
  round 81/100: ego_won=False  ego_hp=-1  adv_hp=78
  round 82/100: ego_won=True  ego_hp=2  adv_hp=-1
  round 83/100: ego_won=False  ego_hp=46  adv_hp=132
  round 84/100: ego_won=True  ego_hp=104  adv_hp=-1
  round 85/100: ego_won=True  ego_hp=2  adv_hp=-1
  round 86/100: ego_won=True  ego_hp=28  adv_hp=-1
  round 87/100: ego_won=True  ego_hp=16  adv_hp=-1
